Date,USD_CAD,SH_Com,WTI_Oil,S&P_Financial,S&P_Industrial,S&P_Info&Tech,US_Gov,CAN_Gov
2008-12-05,-0.006,0.0086,-0.0655,0,0.0235,0.0391,0.0576,0.0154
2008-12-08,-0.012,0.0357,0.0711,-0.0101,0.0423,0.0518,0.0159,-0.0039
2008-12-09,0.0086,-0.0254,-0.0375,-0.0036,-0.0331,-0.0048,-0.0332,-0.0019
2008-12-10,-0.005,0.0203,0.0345,0.0165,0.0128,0.0071,0.014,0.0032
2008-12-11,-0.019,-0.0228,0.1025,0.0115,-0.0422,-0.0328,-0.0298,-0.0055
2008-12-12,0.0111,-0.0381,-0.0354,0.0031,0.0034,0.0243,-0.0126,0.0055
2008-12-15,-0.0128,0.0052,-0.0382,-0.001,-0.006,-0.0171,-0.0221,-0.0078
2008-12-16,-0.0228,0.0054,-0.0204,0.0069,0.0541,0.0482,-0.1012,-0.0395
2008-12-17,-0.0073,0.0009,-0.0812,0.0061,-0.0024,-0.0173,-0.0283,-0.0265
2008-12-18,0.0074,0.0197,-0.0959,0.014,-0.0307,-0.0247,-0.0523,-0.0276
2008-12-19,0.016,0.0014,-0.0649,-0.0136,0.0099,0.0089,0.0221,0.0043
2008-12-22,-0.0038,-0.0152,0.1783,-0.0018,-0.0137,-0.0214,0.0197,0.0096
2008-12-23,-0.0024,-0.0455,-0.0233,-0.0022,-0.0067,-0.0092,0.0046,-0.0064
2008-12-24,-0.0021,-0.0176,-0.0931,-0.0157,0.0024,0.0021,0.0023,-0.0007
2008-12-25,0.0021,-0.0061,-0.0931,-0.0115,0.0024,0.0021,0.0023,-0.0007
2008-12-26,0.0044,-0.0005,0.0668,-0.0028,0.0052,0.0019,-0.0233,-0.0007
2008-12-29,-0.0034,-0.0006,0.0613,0.0029,-0.0124,-0.0054,-0.0154,0.0135
2008-12-30,0.0018,-0.0095,-0.0247,0,0.0284,0.023,-0.0228,-0.065
2008-12-31,-0.0028,-0.0066,0.1427,-0.0013,0.0203,0.0085,0.0798,0.0105
2009-01-05,-0.0216,0.0329,0.0533,-0.0028,-0.0052,0.0008,0.0525,0.0223
2009-01-06,-0.0034,0.03,-0.0047,0.0113,0.0156,0.0303,-0.0141,-0.008
2009-01-07,0.0095,-0.0068,-0.1225,-0.0312,-0.0383,-0.0368,0.0196,0.0216
2009-01-08,-0.014,-0.0238,-0.0218,-0.0166,0.004,0.0087,-0.0212,-0.0177
2009-01-09,0.0079,0.0142,-0.0209,-0.0175,-0.0163,-0.025,-0.0213,-0.024
2009-01-12,0.0236,-0.0024,-0.0794,-0.0031,-0.0227,-0.0141,-0.0351,-0.0185
2009-01-13,0.0066,-0.0195,0.0051,0.0032,-0.0233,-0.0021,-0.0052,-0.0123
2009-01-14,0.0191,0.0352,-0.0132,0,-0.0363,-0.0352,-0.0396,-0.0624
2009-01-15,0.0033,-0.0045,-0.0504,0.0061,0.0032,0.0096,0.0023,0.0172
2009-01-16,-0.003,0.0178,0.0314,0.0075,0.0113,0.0103,0.0592,0.0092
2009-01-19,0.005,0.0165,0.0314,0.0149,0.0113,0.0103,0.0474,0
2009-01-20,0.0098,0.0037,0.0611,-0.0076,-0.0495,-0.0535,-0.0289,0.0225
2009-01-21,-0.0087,-0.0046,0.1242,0.0028,0.025,0.0544,0.0688,0.0209
2009-01-22,-0.0019,0.01,0.0028,0.0099,-0.0019,-0.0233,0.0208,0.004
2009-01-23,-0.0179,-0.0071,0.0641,-0.009,-0.0327,0.0162,0.0062,0.0269
2009-02-02,0.0128,0.0106,-0.0384,0.0052,-0.0251,0.0148,-0.047,-0.0232
2009-02-03,-0.0091,0.0244,0.0175,-0.0143,0.0203,0.0182,0.0648,0.0294
2009-02-04,0.001,0.0228,-0.0113,-0.0272,-0.004,0.0044,0.0159,0.0153
2009-02-05,-0.0006,-0.0046,0.0211,0.0049,0.0094,0.0216,-0.0068,-0.0342
2009-02-06,-0.005,0.0397,-0.0243,0.0134,0.0219,0.0342,0.0236,0.0079
2009-02-09,-0.0078,0.0199,-0.0152,0.0088,0.0256,0.003,0.0017,0.0115
2009-02-10,0.0248,0.0182,-0.0508,0.0062,-0.0537,-0.0437,-0.0581,-0.0328
2009-02-11,-0.0035,-0.0019,-0.0429,0.0014,0.007,0.0054,-0.022,-0.0121
2009-02-12,0.0014,-0.0056,-0.0545,0.0115,-0.011,0.0059,0.0112,-0.0119
2009-02-13,-0.0072,0.0323,0.1039,0.0135,-0.0017,-0.002,0.0384,0.0138
2009-02-16,0.0075,0.0296,0.1039,-0.0204,-0.0017,-0.002,-0.0276,0.0138
2009-02-17,0.017,-0.0293,-0.0688,0.0061,-0.0477,-0.0454,-0.0583,-0.0478
2009-02-18,-0.0037,-0.0472,-0.0089,0.0061,-0.0037,0.0042,0.0434,0.0189
2009-02-19,-0.0008,0.0078,0.1404,-0.023,-0.0235,-0.0329,0.0329,0.0161
2009-02-20,-0.0067,0.0154,-0.0137,0.0149,-0.0207,0.0016,-0.0228,-0.011
2009-02-23,-0.0006,0.0196,-0.0128,-0.0078,-0.0468,-0.0444,-0.0133,-0.0115
2009-02-24,-0.0058,-0.0456,0.0395,0.0254,0.0328,0.0345,0.0185,0.0102
2009-02-25,0.0113,0.0027,0.0636,0.0013,-0.0287,-0.0015,0.0424,0.0289
2009-02-26,-0.004,-0.0387,0.064,-0.0075,-0.0145,-0.013,0.0256,0.0664
2009-02-27,0.017,-0.0181,-0.0102,0.0057,-0.027,-0.0033,0.007,-0.0054
